order,government_type,style,type,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
13,state_local,,row,Crime and Disaster,Fire Protection,5718232,6335761,7025556,7582075,8201727,8916631,9586526,10452893,11752856,11932217,13186081,13796137,14750658,15372647,16122797,17009481,17708772,19407253,20268863,21262103,23101931,24970060,25997621,26337576,28990555,30830112,33654566,36687551,39304874,40886465,41334646,41380619,42450083,42550864,44140260
14,state_local,,row,Establish Justice and Ensure Domestic Tranquility,Safeguarding Consumers and Employees,2317612,2556994,2787350,2967185,3233321,3530205,4078692,4417026,4723810,5080913,5570328,6008078,6272404,6353983,6637861,7236299,7222021,7668988,7957951,8515847,9103757,9619967,11631226,11592515,11494126,12694457,13010287,14249981,14950863,14735225,14138824,13811995,13567740,14043377,14123867
15,state_local,,row,Establish Justice and Ensure Domestic Tranquility,Child Safety and Miscellaneous Social Services,11276253,13111718,14406935,14370211,15770172,17313669,17758459,19561385,21057733,23134863,25458791,28285959,31044718,33011807,36286837,39765621,40588153,42879933,46608529,50670102,54372510,58910233,64949034,67432402,66034631,63527320,64646091,65443278,68385117,71787890,70677964,69261183,68788573,70023572,72981522
16,state_local,,row,Spending By Mission,Provide for the Common Defense,60951,56969,63798,74688,98572,112881,121785,129454,134281,146198,151682,157313,170014,164681,179076,206109,225645,243188,288331,283242,356552,336520,361190,1016563,1503822,1188935,992146,1030506,1080399,933222,793609,927042,838031,1024498,1059763
17,state_local,,row,Provide for the Common Defense,National Defense and Support for Veterans,60951,56969,63798,74688,98572,112881,121785,129454,134281,146198,151682,157313,170014,164681,179076,206109,225645,243188,288331,283242,356552,336520,361190,1016563,1503822,1188935,992146,1030506,1080399,933222,793609,927042,838031,1024498,1059763
18,state_local,,row,National Defense and Support for Veterans,Support for Veterans,60951,56969,63798,74688,98572,112881,121785,129454,134281,146198,151682,157313,170014,164681,179076,206109,225645,243188,288331,283242,356552,336520,361190,1016563,1503822,1188935,992146,1030506,1080399,933222,793609,927042,838031,1024498,1059763
19,state_local,,row,Spending By Mission,Promote the General Welfare,90974324,100298986,106120388,113818416,121827139,132870312,143482687,153399817,165514267,176713068,194814494,219982820,264650653,278833130,297081455,313961037,316437392,324276199,334552691,353609840,384430108,416842972,455361605,488667414,524782768,567055942,571749572,611797028,652204054,689130553,721178617,753487577,758159022,777529613,812866200
20,state_local,,row,Promote the General Welfare,Economy and Infrastructure,36199515,38768750,38929399,41637081,44082095,48648135,52608133,56134933,58889974,59965636,63767650,68316517,72235522,71667893,76707053,79705242,80284358,83030067,88382781,96001806,106169379,116375317,125064238,128929293,130332834,139258313,141478678,152584415,162079871,171131236,173456959,168119067,171092957,166862448,173447499
21,state_local,,row,Economy and Infrastructure,Transportation and Transportation Safety,37839770,40537294,41068654,44147566,47275115,52603363,57766965,61405004,64971418,67462468,71771771,76562358,80655878,81141227,87136096,91173969,92754020,95859323,101296752,109079514,119104216,129241758,139157438,144211321,146953918,152967218,155888518,172949590,184342589,191784233,194896683,190125430,194238315,190937751,197857584
22,state_local,,row,Transportation and Transportation Safety,Air Transportation - Airports (Govt. Business - net of revenues),675230,645060,567782,478150,839413,626183,802773,1088876,1241955,1057274,1310150,1514959,2317365,2641959,2340211,734358,623541,1072254,936196,2415190,2076441,3648860,3878627,4287336,4662120,3578538,1979785,3501884,3490592,4679038,6142089,3806624,1098129,849148,562376
23,state_local,,row,Transportation and Transportation Safety,Highway Transportation,31568285,32698930,32450544,34418183,36905826,42250138,46501125,49238680,52059035,54133860,56803667,60313462,62474497,63136022,66510168,71391300,73249597,75685831,80495941,85872430,93476159,98913528,106818952,108719202,108084386,116296403,119604004,133692205,142156399,142058730,142373059,140778171,146233459,141626142,144895451
24,state_local,,row,Highway Transportation,Regular Highways,31862805,33075437,32932700,34845750,37458901,42847930,46809717,49477412,52105672,54400689,57258562,60710578,62738500,63618265,67018644,72021240,73844940,76462365,81667278,86395756,93639370,98670132,105625737,107030399,107063255,116566005,125834318,133162590,137662151,140928066,142349437,141592260,146153104,143522288,147028360
25,state_local,,row,Highway Transportation,Toll Highways (Govt. Business - net of revenues),-302417,-384989,-494258,-428731,-511136,-615576,-359180,-314929,-94667,-225801,-349700,-286738,-155716,-178045,-159940,-337292,-362871,-392993,-784648,-181827,304865,631748,1472487,2162849,1226060,-56833,-5601545,1119585,4845418,1446936,1561670,-270906,760982,-1071034,-1088168
26,state_local,,row,Highway Transportation,Parking Facilities (Govt. Business - net of revenues),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,state_local,,row,Transportation and Transportation Safety,Railroad Transportation - Mass Transit (Govt. Business - net of revenues),5248720,6588902,7642847,8779652,9273434,9375561,9967547,10638656,11242502,11764153,13177189,14220076,15596186,14933696,17442558,18662195,18434491,18391187,19319130,20076522,22917774,23392012,27573942,31570462,33267571,32589976,33726304,34861299,37914967,43714726,44999082,44633892,46035124,47653410,51128629
28,state_local,,row,Transportation and Transportation Safety,Water Transportation - Sea and Inland Port Facilities (Govt. Business - net of revenues),347535,604402,407481,471581,256442,351481,495520,438792,427926,507181,480765,513861,267830,429550,843159,386116,446391,710051,545485,715372,633842,3287358,885917,-365679,939841,502301,578425,894202,780631,1331739,1382453,906743,871603,809051,1271128
29,state_local,,row,Economy and Infrastructure,General Commerce,-1640255,-1768544,-2139255,-2510485,-3193020,-3955228,-5158832,-5270071,-6081444,-7496832,-8004121,-8245841,-8420356,-9473334,-10429043,-11468727,-12469662,-12829256,-12913971,-13077708,-12934837,-12866441,-14093200,-15282028,-16621084,-13708905,-14409840,-20365175,-22262718,-20652997,-21439724,-22006363,-23145358,-24075303,-24410085
30,state_local,,row,General Commerce,Liquor Stores (Govt. Business - net of revenues),-609147,-552265,-501232,-494696,-498802,-412536,-445981,-422666,-452898,-443669,-514759,-566462,-541830,-579776,-621920,-616976,-633520,-659134,-761322,-698142,-790982,-886172,-882285,-936255,-1099705,-1105067,-1213166,-1220428,-1311677,-1298926,-1357638,-1376209,-1650804,-1842862,-1619002
31,state_local,,row,General Commerce,Lotteries (Govt. Business - net of revenues),-1029796,-1216762,-1630330,-2027139,-2684522,-3523411,-4690624,-4842790,-5654352,-7059265,-7485308,-7664880,-7844161,-8826523,-9794293,-10809971,-11811550,-12100219,-12095577,-12324788,-12156586,-12022163,-13263260,-13853904,-15099262,-15675487,-16995089,-17749751,-18252970,-17741160,-17815384,-18227379,-19736863,-20418338,-20987366
32,state_local,,row,General Commerce,Other Government Businesses (net of revenues),-1312,483,-7693,11350,-9696,-19281,-22227,-4615,25806,6102,-4054,-14499,-34365,-67035,-12830,-41780,-24592,-69903,-57072,-54778,12731,41894,52345,-491869,-422117,3071649,3798415,-1394996,-2698071,-1612911,-2266702,-2402775,-1757691,-1814103,-1803717
33,state_local,,row,Promote the General Welfare,Health (excludes Medicare/Medicaid),13738432,14378187,16047607,18059194,18840388,21114799,23058250,24520055,27657942,29988935,33571397,36022643,34813713,37436673,38204857,40557436,41994821,42431601,46163721,49845757,55318466,56109890,62362103,65303217,68440739,70913677,74969588,82270176,93825566,98537829,95101809,96989813,99154494,97142571,102239055
34,state_local,,row,Health (excludes Medicare/Medicaid),Public Health,8386679,9770841,10473389,11298102,12276521,13710925,15549541,16903423,18487825,20684388,24222735,26705604,29616547,32290647,35328725,38019973,40165568,42242162,44390577,47627722,51365588,53464954,59455759,61703413,64373318,66637076,69044659,74276735,79790721,83096261,81382671,82392437,84991898,86510671,89733631
35,state_local,,row,Health (excludes Medicare/Medicaid),Other Medical Assistance to Persons (includes net spending by public hospitals),5351753,4607346,5574218,6761092,6563867,7403874,7508709,7616632,9170117,9304547,9348662,9317039,5197166,5146026,2876132,2537463,1829253,189439,1773144,2218035,3952878,2644936,2906344,3599804,4067421,4276601,5924929,7993441,14034845,15441568,13719138,14597376,14162596,10631900,12505424
36,state_local,,row,Promote the General Welfare,Standard of Living and Aid to the Disadvantaged,41036377,47152049,51143382,54122141,58904656,63107378,67816304,72744829,78966351,86758497,97475447,115643660,157601418,169728564,182169545,193698359,194158213,198814531,200006189,207762277,222942263,244357765,267935264,294434904,326009195,356883952,355301306,376942437,396298617,419461488,452619849,488378697,487911571,513524594,537179646
37,state_local,,row,Standard of Living and Aid to the Disadvantaged,Cash Programs for Aid to the Disadvantaged,12921675,14349965,14680016,15892901,16758966,17401338,18864344,19490624,19884027,20733771,22296127,24920900,27250163,28451513,28314899,28800857,26930236,24717265,22225581,21410391,20661502,20313467,19447300,20660581,21351725,19986556,19823742,20019640,20629632,21825056,22643938,23787302,23106411,22593769,23384152
38,state_local,,row,Standard of Living and Aid to the Disadvantaged,Non-Cash Programs for Aid to the Disadvantaged,26105910,30525653,34177498,35756053,39589979,43113921,46244740,50502514,56229214,63077557,72164966,87473072,126634479,137332028,149783839,160951488,163297366,170088231,173647425,182221539,198103096,219685468,243405834,268507273,300293844,332632851,330921471,352939893,371614162,393066524,424819191,459335538,459689018,486029988,509395465
39,state_local,,row,Non-Cash Programs for Aid to the Disadvantaged,Housing Assistance (Net of charges),5061989,6071388,7430589,7276703,7854343,8805953,9645066,9999627,11381455,12749635,13456105,14607339,15147724,16234548,17381145,18951796,20031042,20353038,21711161,22367883,23587216,24452880,28739662,31101947,34147266,39789359,33978993,46817204,50958545,50317590,54372196,56434691,53422053,49985105,49338659
40,state_local,,row,Non-Cash Programs for Aid to the Disadvantaged,Medical Assistance to Poor (includes Medicaid),20630918,23940260,26092255,27631556,30815647,33240350,35511240,39379119,43764981,49061316,57375142,71429490,109991676,119558699,130802913,140429746,141770725,148127427,150176972,158041669,172403743,193019301,212622838,235174973,261877054,286705180,288665189,296358198,310249563,330320096,356181593,388626578,393156476,423997662,447827472
41,state_local,,row,Non-Cash Programs for Aid to the Disadvantaged,Other Non-Cash Aid to the Disadvantaged,413003,514005,654654,847794,919989,1067618,1088434,1123768,1082778,1266606,1333719,1436243,1495079,1538781,1599781,1569946,1495599,1607766,1759292,1811987,2112137,2213287,2043334,2230353,4269524,6138312,8277289,9764491,10406054,12428838,14265402,14274269,13110489,12047221,12229334
42,state_local,,row,Standard of Living and Aid to the Disadvantaged,Unemployment Insurance,2008792,2276431,2285868,2473187,2555711,2592119,2707220,2751691,2853110,2947169,3014354,3249688,3716776,3945023,4070807,3946014,3930611,4009035,4133183,4130347,4177665,4358830,5082130,5267050,4363626,4264545,4556093,3982904,4054823,4569908,5156720,5255857,5116142,4900837,4400029
43,state_local,,row,Standard of Living and Aid to the Disadvantaged,Note: Government-run Businesses (net expenditures),21454487,23435147,23500426,24246144,21100895,20933293,23222536,24239402,24671417,22960684,24353607,26023966,23769985,21038957,16825423,15223351,10497887,10677445,11542148,14393295,20198279,30888736,33098975,36179012,42468968,39069111,34919761,46364722,58433815,67981453,62527816,54930826,45463054,35856952,36265526
44,state_local,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,165281694,182034501,191580741,208948825,228261854,249363347,278084806,306064532,315973292,336066516,364698000,392402951,362694675,385616748,395474549,422292805,444827305,469819207,505165496,541558742,587981242,637202496,692412741,732326384,781612390,808497617,848646301,900276755,972370524,1029576166,1052994746,1063207938,1091205157,1103268100,1132045887
45,state_local,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Education,121147948,132323845,139197036,147259723,157905924,173428340,190020687,204928092,219150277,237621607,259409417,278117859,290216531,305022826,313748034,336008895,354837286,372596204,400245205,429694947,463205679,501516420,530663565,550395095,581044204,608037525,641008656,682952146,728776677,747579083,749970217,743869381,766103398,769804450,794723005
46,state_local,,row,Education,Education Inside the Classroom,119454321,130458655,137184443,145046501,155493407,170728411,187073186,201630514,215649530,233838156,255307603,273675722,285506613,300360379,308793901,330724218,349117247,366303685,393676082,422853965,456050323,493714329,522403494,542813411,571755621,598245147,632120996,672186206,717255487,736448822,738979205,733170870,754643667,758653999,783564716
47,state_local,,row,Education Inside the Classroom,Elementary and Secondary Education (Net of charges such as lunches),91878286,99521862,104841980,111714345,119577524,130867116,144148137,156139518,168366811,183398503,200436227,216399102,225873520,239548787,246526230,264507206,280378469,294817894,318289990,340215405,365624809,393822363,413905575,431230698,455364585,478140102,506849584,539426458,571134344,584886702,582942574,576200339,577011319,582482623,601189209
48,state_local,,row,Education Inside the Classroom,Higher Education (Net of tuition revenues),23510656,26311278,28045349,29011915,31250795,34782333,37474836,39829454,41023776,43500898,47078872,49897850,52109177,53153548,53811952,57297710,59189988,61829911,65370084,72049963,79059205,87021971,95495625,97355570,101943499,105406713,109562107,117501686,129954447,135155241,137999872,139241220,160615261,158986758,164109632
49,state_local,,row,Education Inside the Classroom,Education Unallocable between K-12 and Higher,4065379,4625515,4297114,4320241,4665088,5078962,5450213,5661542,6258943,6938755,7792504,7378770,7523916,7658044,8455719,8919302,9548790,9655880,10016008,10588597,11366309,12869995,13002294,14227143,14447537,14698332,15709305,15258062,16166696,16406879,18036759,17729311,17017087,17184618,18265875
50,state_local,,row,Education,Education Outside the Classrooom - Libraries,1693627,1865190,2012593,2213222,2412517,2699929,2947501,3297578,3500747,3783451,4101814,4442137,4709918,4662447,4954133,5284677,5720039,6292519,6569123,6840982,7155356,7802091,8260071,7581684,9288583,9792378,8887660,10765940,11521190,11130261,10991012,10698511,11459731,11150451,11158289
51,state_local,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Sustainability and Self-Sufficiency,22416657,24770787,24218384,23843553,21497636,22846228,26639225,28166069,27642744,28547127,31386197,33562949,33489758,32526295,30044663,32905878,31721155,35329234,36612304,37644771,42072698,53449567,55115084,55127281,60585332,59608129,63743731,76337260,80749640,84856766,77052636,71499830,63063628,57425549,51687828
52,state_local,,row,Sustainability and Self-Sufficiency,Energy - Gas and Electric Utilities (Govt. Business - net of revenues),1983966,2216364,1708481,1122151,-175766,-603633,629495,-1226990,-2575341,-3538754,-3832537,-4764614,-4262831,-5046003,-5189453,-5754958,-6652537,-6401882,-6715744,-7625171,-7634397,-642368,-3546137,-4599194,-1371072,-4925850,-3762181,-2284722,-1273401,-2221545,-3485174,-3750466,-5148262,-5191609,-6682265
53,state_local,,row,Sustainability and Self-Sufficiency,Environment and Natural Resources,18670189,20565108,20344221,20451914,19304710,20876905,23223562,26404465,27208034,28844238,31687053,34691881,34099498,33822476,31438965,34794028,34380285,37611396,38941015,40624029,44250821,48454306,53157357,54135122,56382786,64533979,67505912,78621982,82023041,87078311,80537810,75250296,68211890,62617158,52509304
54,state_local,,row,Environment and Natural Resources,Sewerage and Waste Management (Govt. Business - net of revenues),8341230,9195961,8560298,8143290,7642469,7824794,8333331,9495297,10196274,10610364,10805485,11409979,11249244,12311045,9154626,10213734,9278426,10098444,9430530,9412339,10724713,9922620,12004103,11926725,13397142,13459669,14445095,16243556,16991980,17985610,16410439,15415085,11980227,8964158,5859147
55,state_local,,row,Environment and Natural Resources,Water Utilities (Govt. Business - net of revenues),1440828,1722163,1660730,1428280,447131,508053,952585,1696942,1096065,1019580,1522909,2455623,2089384,578261,295709,543110,-396673,223742,338715,782042,625076,1258363,2296164,3352783,3105898,3566383,2667558,4990622,4262671,6572650,4775891,2142024,-471360,-1887657,-1835919
56,state_local,,row,Environment and Natural Resources,Other Environmental and Natural Resources,8888131,9646984,10123193,10880344,11215110,12544058,13937646,15212226,15915695,17214294,19358659,20826279,20760870,20933170,21988630,24037184,25498532,27289210,29171770,30429648,32901032,37273323,38857090,38855614,39879746,41906655,44764332,51731223,55084154,56808161,53611936,51925988,50908170,49718150,48486076
57,state_local,,row,Sustainability and Self-Sufficiency,Agriculture,1762502,1989315,2165682,2269488,2368692,2572956,2786168,2988594,3010051,3241643,3531681,3635682,3653091,3749822,3795151,3866808,3993407,4119720,4387033,4645913,5456274,5637629,5503864,5591353,5573618,5601272,5628927,5656581,5684236,5711890,5739544,5767199,5794853,5822507,5860789
58,state_local,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Wealth and Savings,21717089,24939869,28165321,37845549,48858294,53088779,61424894,72970371,69180271,69897782,73902386,80722143,38988386,48067627,51681852,53378032,58268864,61893769,68307987,74219024,82702865,82236509,106634092,126804008,139982854,140851963,143893914,140987349,162844207,197140317,225971893,247838727,262038131,276038101,285635054
59,state_local,,row,Wealth and Savings,Obligations,21717089,24939869,28165321,37845549,48858294,53088779,61424894,72970371,69180271,69897782,73902386,80722143,38988386,48067627,51681852,53378032,58268864,61893769,68307987,74219024,82702865,82236509,106634092,126804008,139982854,140851963,143893914,140987349,162844207,197140317,225971893,247838727,262038131,276038101,285635054
60,state_local,,row,Obligations,Employee Retirement and Disability Benefits,16725998,18650130,21316508,23162124,26093110,29195532,31651311,35555474,38786642,42131706,46821905,52023117,57327293,63397702,66838500,72135714,79241399,83204583,90621254,95949025,106581171,116556397,128596440,141716972,154564283,165886533,175982997,184916909,199632225,210904021,223659874,239017752,249507210,263675303,276557940
61,state_local,,row,Obligations,Offset for Government Employee Contributions for Retirement and Disability,-10335303,-10894517,-11887489,-12528720,-12913795,-14047155,-15758488,-17725324,-19420311,-21251402,-22848992,-26481732,-27760841,-29326048,-30964392,-31723411,-32123809,-31795676,-31493901,-33299480,-33887563,-38771656,-41734573,-45536446,-54665833,-57439174,-57688305,-58153090,-56337574,-59356093,-57799064,-58372058,-61699123,-62272034,-64260027
62,state_local,,row,Obligations,Interest on Debt (net of interest on investments),15326394,17184256,18736302,27212145,35678979,37940402,45532071,55140221,49813940,49017478,49929473,55180758,9421934,13995973,15807744,12965729,11151274,10484862,9180634,11569479,10009257,4451768,19772225,30623482,40084404,32404604,25599222,14223530,19549556,45592389,60111083,67193033,74230044,74634832,73337141
63,state_local,,row,Spending By Mission,General Government,33490017,36047905,36321833,36125794,38891922,42895231,46789058,51030336,53109075,56919626,61059762,65282138,66757855,68898275,70736640,75526320,75227274,82143509,85160967,94425013,102791222,112524167,120882962,118239247,119089366,122609628,131804808,148596531,151893372,156733765,158039258,154779816,148651663,145235828,154342431
64,state_local,,total_row,Spending By Mission,Total Spending (Net Expenditures),331647901,365432410,388040231,418635720,454283466,497234344,546848656,596538937,628741437,671548374,734258445,801421255,826981477,871281434,911311398,972077211,1004883341,1055649251,1116530042,1194605774,1294773012,1401564744,1521880158,1600905069,1692976424,1774697556,1842541292,1968810369,2103505224,2216653378,2271068664,2309791678,2336460149,2368224105,2452304801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Memo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Key State and Local Government Business-Like Operations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Airports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Revenue,1825749,2098012,2296246,2535352,2745041,3117639,3454174,3825118,4108857,4694727,5173476,5718240,5909173,6648199,7074108,7663061,8169769,9055655,9522480,10216941,11083342,11883084,12330615,12758630,13444453,14391302,15446609,16584133,17786857,18074433,18066940,18878396,19783565,20609468,21091319
,,,,,Gross Expenditure,2500979,2743072,2864028,3013502,3584454,3743822,4256947,4913994,5350812,5752001,6483626,7233199,8226538,9290158,9414319,8397419,8793310,10127909,10458676,12632131,13159783,15531944,16209242,17045966,18106573,17969840,17426394,20086017,21277449,22753471,24209029,22685020,20881694,21458616,21653695
,,,,,Net Expenditure,675230,645060,567782,478150,839413,626183,802773,1088876,1241955,1057274,1310150,1514959,2317365,2641959,2340211,734358,623541,1072254,936196,2415190,2076441,3648860,3878627,4287336,4662120,3578538,1979785,3501884,3490592,4679038,6142089,3806624,1098129,849148,562376
,,,,,Toll Highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Revenue,1370292,1494587,1599751,1733692,1889952,2097073,2188560,2366557,2594536,2797665,3009720,3332745,3535736,3610924,3797565,4009898,4164407,4498287,4708704,5121914,5493620,5879001,5857697,5956915,6265033,7917380,14223045,8538770,9001092,9460216,9572334,10947976,11622588,13116573,14128478
,,,,,Gross Expenditure,1067875,1109598,1105493,1304961,1378816,1481497,1829380,2051628,2499869,2571864,2660020,3046007,3380020,3432879,3637625,3672606,3801536,4105294,3924056,4940087,5798485,6510749,7330184,8119764,7491093,7860547,8621500,9658355,13846510,10907152,11134004,10677070,12383570,12045539,13040310
,,,,,Net Expenditure,-302417,-384989,-494258,-428731,-511136,-615576,-359180,-314929,-94667,-225801,-349700,-286738,-155716,-178045,-159940,-337292,-362871,-392993,-784648,-181827,304865,631748,1472487,2162849,1226060,-56833,-5601545,1119585,4845418,1446936,1561670,-270906,760982,-1071034,-1088168
,,,,,Parking Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Revenue,335156,368863,394381,453319,525924,573945,631872,684362,736854,795606,854430,923935,982742,1002090,1077614,1092766,1106646,1195042,1269139,1355459,1373750,1416209,1402243,1448631,1539919,1622321,1674224,2387790,1936705,2040377,3226373,2178147,2573108,2729511,2884738
,,,,,Gross Expenditure,343053,377345,406483,454483,483985,591729,682460,760559,784884,754578,749235,813557,874455,697892,729078,800118,874174,811501,882450,1013960,905674,1027857,1122971,974585,1334990,1409552,1045455,1797820,1585535,1724105,1688325,1634964,1892481,1904399,1839997
,,,,,Net Expenditure,7897,8482,12102,1164,-41939,17784,50588,76197,48030,-41028,-105195,-110378,-108287,-304198,-348536,-292648,-232472,-383541,-386689,-341499,-468076,-388352,-279272,-474046,-204929,-212769,-628769,-589970,-351170,-316272,-1538048,-543183,-680627,-825112,-1044741
,,,,,Transit Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Revenue,2397177,2965041,3526384,3545105,3791715,4216453,4452984,4763315,4766397,5025880,5216117,5628839,5665945,5835235,6256343,6539571,6889245,7421497,7545778,7707741,8048617,8763502,8950133,8984711,9784837,10146019,10876566,11571235,12151238,13029261,13003045,13736809,14528272,14986016,15797878
,,,,,Gross Expenditure,7645897,9553943,11169231,12324757,13065149,13592014,14420531,15401971,16008899,16790033,18393306,19848915,21262131,20768931,23698901,25201766,25323736,25812684,26864908,27784263,30966391,32155514,36524075,40555173,43052408,42735995,44602870,46432534,50066205,56743987,58002127,58370701,60563396,62639426,66926507
,,,,,Net Expenditure,5248720,6588902,7642847,8779652,9273434,9375561,9967547,10638656,11242502,11764153,13177189,14220076,15596186,14933696,17442558,18662195,18434491,18391187,19319130,20076522,22917774,23392012,27573942,31570462,33267571,32589976,33726304,34861299,37914967,43714726,44999082,44633892,46035124,47653410,51128629
,,,,,Sea and Inland Port Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Gross Revenue,820883,903850,965532,986410,1072896,1141679,1229927,1312318,1413845,1415686,1487613,1534803,1630605,1738683,1785191,1923232,2131166,2099257,2239313,2355006,2506691,2707305,2685135,2930095,3106806,3393968,3698023,3864136,4133206,4018750,3880871,4160159,4407269,4507905,4738955
,,,,,Gross Expenditure,1168418,1508252,1373013,1457991,1329338,1493160,1725447,1751110,1841771,1922867,1968378,2048664,1898435,2168233,2628350,2309348,2577557,2809308,2784798,3070378,3140533,5994663,3571052,2564416,4046647,3896269,4276448,4758338,4913837,5350489,5263324,5066902,5278872,5316956,6010083
,,,,,Net Expenditure,347535,604402,407481,471581,256442,351481,495520,438792,427926,507181,480765,513861,267830,429550,843159,386116,446391,710051,545485,715372,633842,3287358,885917,-365679,939841,502301,578425,894202,780631,1331739,1382453,906743,871603,809051,1271128
,,,,,Liquor Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
