order,government_type,style,type,parent,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
11,combined,,row,Law Enforcement and Corrections,Corrections,6790999,7756040,8836539,10203690,11589659,13380744,15578035,17358608,19924138,22248910,25932232,28963232,30895614,31765724,34593782,38605854,40523101,42885460,45160621,48802065,52512439,56576212,59361236,60051298,61076158,63947100,67625844,73201762,78407623,81105191,79427366,79789350,79441217,79770430,81500653
12,combined,,row,Crime and Disaster,Justice System,3934533,4140992,6269210,8634824,9473652,10501600,11462344,12537429,14012949,15678724,17497404,19450015,21301819,22124048,23122658,25047153,26357777,27793774,30070382,32438294,34500180,37294901,40122148,42107282,43229300,45387379,47816723,50407825,53667373,55731817,57089929,57487983,58890152,56682541,57796275
13,combined,,row,Crime and Disaster,Fire Protection,5718232,6335761,7025556,7582075,8201727,8916631,9586526,10452893,11752856,11932217,13186081,13796137,14750658,15372647,16122797,17009481,17708772,19407253,20268863,21262103,23101931,24970060,25997621,26337576,28990555,30830112,33654566,36687551,39304874,40886465,41334646,41380619,42450083,42550864,44140260
14,combined,,row,Crime and Disaster,Disaster Relief (net of insurance premiums),1661795,1411110,-215236,-187741,-97809,-214268,117313,-430071,-403155,-358219,914024,26202,247714,1086709,952714,1507000,1257000,1197000,392000,1157000,166000,816000,894000,2246000,1812000,4115000,31309000,6952000,2540000,7642000,2261000,705000,1733000,15184000,4988000
15,combined,,row,Establish Justice and Ensure Domestic Tranquility,Safeguarding Consumers and Employees,3944028,4274255,4533936,4716794,5057707,5479105,6037339,6461032,6881436,7549610,8114207,8475814,9005684,8861012,9358857,10121299,9735021,10381988,10504951,11248847,11946757,12752967,14842226,15074515,14961126,15937457,16314287,18215981,19186863,20782225,20663824,19066995,19382740,19321377,19684867
16,combined,,row,Establish Justice and Ensure Domestic Tranquility,Child Safety and Miscellaneous Social Services,11608502,13501081,14724012,14761012,16190806,17684106,18143124,20054087,21568791,23713074,26066911,28948259,31646432,33600972,36947015,40483621,41320153,43393933,46531529,50639102,54450510,58659233,64842034,67455402,66108631,63514320,64790091,65713278,68605117,72033890,71272964,69892183,69336573,70508572,73597522
17,combined,,row,Spending By Mission,Provide for the Common Defense,168632572,194457474,222487248,247628911,270000608,296325792,315066972,321919119,332298578,344597631,343252864,321981163,350107708,345776635,338033454,327904109,318091645,327241188,326351331,336715242,362391552,370013520,427289190,489121563,550351822,607599935,629153146,661601506,741228399,809396222,861463609,892930042,863892031,832353498,813023763
18,combined,,row,Provide for the Common Defense,National Defense and Support for Veterans,155042056,180393275,209180133,234648855,252922847,278858870,299542339,308565775,319566976,333323567,328131433,304392039,332071311,326549052,319009581,309810109,302625645,309751188,309923331,317889242,341272552,349590520,399267190,462305563,516569822,566048935,591996146,624467506,701103399,756565222,801826609,832674042,802204031,772321498,752909763
19,combined,,row,National Defense and Support for Veterans,National Defense,133902806,157437840,185240799,209816568,227315228,252586131,273196405,281802417,290172075,303301507,299079753,273100629,298027802,290932181,281470450,271995000,265710000,270502000,268182000,274768000,294361000,304685000,348365000,404733000,455813000,495292000,521818000,551258000,616065000,661012000,693485000,705554000,677852000,633446000,603457000
20,combined,,row,National Defense and Support for Veterans,Support for Veterans,21139250,22955435,23939334,24832287,25607619,26272739,26345934,26763358,29394901,30022060,29051680,31291410,34043509,35616871,37539131,37815109,36915645,39249188,41741331,43121242,46911552,44905520,50902190,57572563,60756822,70756935,70178146,73209506,85038399,95553222,108341609,127120042,124352031,138875498,149452763
21,combined,,row,Provide for the Common Defense,Foreign Affairs and Foreign Aid,12713963,13104204,12299579,11847552,15868975,16169296,14145803,11644938,10465812,9583322,13758498,15846157,16090130,17218058,17067433,16429000,13487000,15173000,13047000,15204000,17222000,16463000,22300000,21173000,26908000,34578000,29513000,28470000,28855000,37532000,45210000,45668000,47168000,46208000,46732000
22,combined,,row,Provide for the Common Defense,"Immigration and Border Security (net of visa fees, etc.)",876553,959995,1007536,1132504,1208786,1297626,1378830,1708406,2265790,1690742,1362933,1742967,1946267,2009525,1956440,1665000,1979000,2317000,3381000,3622000,3897000,3960000,5722000,5643000,6874000,6973000,7644000,8664000,11270000,15299000,14427000,14588000,14520000,13824000,13382000
23,combined,,row,Spending By Mission,Promote the General Welfare,158325964,174720442,181132656,201181401,198137434,222873060,225448523,236731707,261687770,290392449,358238590,410169150,415027257,408437351,444980499,448862037,466762392,474009199,499288691,517041840,562439108,608043972,692607605,748991414,781732768,836657942,843906572,898223028,1020604054,1312550553,1146667617,1244762577,1274274022,1229057613,1232444200
24,combined,,row,Promote the General Welfare,Economy and Infrastructure,56612665,60031495,57622778,61719146,65965079,69744274,77441088,81969374,94173225,108064667,154402009,168742623,109721246,80290868,105254528,94799242,106834358,105207067,126708781,130856806,147008379,161393317,174172238,182236293,180216834,197576313,197121678,217035415,249584871,418951236,121956959,204192067,282226957,229577448,221256499
25,combined,,row,Economy and Infrastructure,Transportation and Transportation Safety (net of receipts such as tolls),46147418,50511968,49583120,52281372,55955946,61431979,67562010,70753932,74200511,76894575,82083004,87835507,93431731,93854078,101569084,104736969,106362020,109780323,115495752,122707514,133735216,147041758,159986438,170245321,170099918,177487218,179446518,197908590,210742589,220635233,225887683,222105430,226508315,222092751,227535584
26,combined,,row,Economy and Infrastructure,General Commerce (includes Small Business Administration and net expenditures of lotteries and liquor stores),487039,-265010,-579669,-936923,-1685050,-2398294,-3828422,-4336794,-5038295,-6114096,-5641366,-6752878,-6925520,-7738142,-9056729,-10214727,-10890662,-11647256,-11864971,-11610708,-8011837,-11187441,-12063200,-12270028,-11862084,-9965905,-12136840,-17859175,-19126718,-14863997,-7628724,-13211363,-17873358,-21185303,-21818085
27,combined,,row,Economy and Infrastructure,"Banking and Finance (deposit insurance, financial market bailouts, etc.)",-258658,-1220755,-1948729,-1542021,-590554,-2169768,1422164,3135405,10051919,22030787,57921792,66277369,2559177,-27908193,-7522106,-17775000,-8342000,-14330000,-4310000,-5219000,-2988000,-1502000,-952000,-1344000,-1877000,-1270000,-1006000,-1389000,18827000,172792000,-142029000,-47390000,28221000,-7811000,-21359000
28,combined,,row,"Banking and Finance (deposit insurance, financial market bailouts, etc.)",Note: Net expenditures for bailouts in Banking and Finance,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388
29,combined,,row,Economy and Infrastructure,General Science and Basic Research (includes NSF),1380579,1476169,1606282,1643742,1842331,2014926,2206671,2243217,2406659,2625718,2817691,3135511,3551208,3913850,3825411,4099000,3991000,4080000,5306000,5638000,6167000,6520000,7261000,7951000,8392000,8819000,9093000,9149000,9573000,10020000,11730000,12434000,12458000,12479000,12011000
30,combined,,row,Economy and Infrastructure,Space,4450912,4992317,5592912,6290357,6468745,6607435,6755601,6956517,8412979,10195668,11608591,12956683,12837895,13092224,12363207,12593000,12693000,13056000,12866000,12446000,12427000,13233000,13473000,12880000,14637000,14778000,14491000,15258000,17200000,18397000,18370000,17032000,16602000,16429000,16559000
31,combined,,row,Economy and Infrastructure,Technology Infrastructure (includes FCC and NTIS),214403,234295,223542,242330,287446,377786,432362,492130,577288,753431,942667,1058765,1143527,1225051,1133553,1400000,1552000,2612000,7272000,4520000,1798000,3429000,4677000,8423000,3493000,6971000,6334000,6809000,7652000,8909000,8084000,9137000,10426000,9041000,8331000
32,combined,,row,Economy and Infrastructure,"Postal Service (net of revenues from stamps, etc.)",1245551,1431723,154146,1111294,1238828,1351100,758085,1592629,2229465,126798,2115676,1827993,1169276,1601631,1233139,-1839000,-58000,77000,303000,1050000,2129000,2395000,207000,-5169000,-4070000,-1223000,-971000,5197000,2526000,422000,4818000,909000,2744000,-1839000,-2453000
33,combined,,row,Economy and Infrastructure,Community and Regional Development,2945421,2870788,2991174,2628995,2447387,2529110,2132617,1132338,1332699,1551786,2553954,2403673,1953952,2250369,1708969,1799000,1527000,1579000,1641000,1325000,1752000,1464000,1583000,1520000,1404000,1980000,1871000,1962000,2191000,2640000,2725000,3176000,3141000,371000,2450000
34,combined,,row,Promote the General Welfare,Health (excludes Medicare/Medicaid),18873056,19793862,21992686,23686655,24188355,26963424,29518371,31181693,35569744,38650092,43167047,46227101,46193144,50118534,51307946,54715436,55494821,58366601,62945721,67529757,75243466,79088890,89570103,95626217,101686739,104862677,110537588,118290176,132692566,138728829,143916809,149523813,150454494,146917571,149316055
35,combined,,row,Health (excludes Medicare/Medicaid),Public Health,13388223,14952782,16258343,16788393,17496086,19480631,21900701,23428001,26299132,29229244,33690480,36745798,41008878,44659113,48104983,51579973,53194568,57644162,60610577,64814722,70627588,75847954,85795759,91282413,96971318,99801076,104238659,109834735,118339721,123135261,129767671,130589437,131469898,132189671,133234631
36,combined,,row,Health (excludes Medicare/Medicaid),Other Medical Assistance to Persons (includes net spending by public hospitals),5351753,4607346,5574218,6761092,6563867,7403874,7508709,7616632,9170117,9304547,9348662,9317039,5197166,5307117,3162092,2873463,2133253,528439,2113144,2366035,4107878,2794936,3030344,3789804,4194421,4401601,6038929,8042441,14026845,15496568,13766138,18012376,17662596,13112900,13426424
37,combined,,row,Other Medical Assistance to Persons (includes net spending by public hospitals),Note: Net Expenditures for Hospitals in Other Medical Assistance to Persons,5351753,4607346,5574218,6761092,6563867,7403874,7508709,7616632,9170117,9304547,9348662,9317039,5197166,5146026,2876132,2537463,1829253,189439,1773144,2218035,3952878,2644936,2906344,3599804,4067421,4276601,5924929,7993441,14034845,15441568,13719138,14597376,14162596,10631900,12505424
38,combined,,row,Health (excludes Medicare/Medicaid),Other Health Expenditures,133080,233734,160125,137170,128402,78919,108961,137060,100495,116301,127905,164264,-12900,152304,40871,262000,167000,194000,222000,349000,508000,446000,744000,554000,521000,660000,260000,413000,326000,97000,383000,922000,1322000,1615000,2655000
39,combined,,row,Promote the General Welfare,Standard of Living and Aid to the Disadvantaged,82840243,94895085,101517192,115775600,107984000,126165362,118489064,123580640,131944801,143677690,160669534,195199426,259112867,278027949,288418025,299347359,304433213,310435531,309634189,318655277,340187263,367561765,428865264,471128904,499829195,534218952,536247306,562897437,638326617,754870488,880793849,891046697,841592571,852562594,861871646
40,combined,,row,Standard of Living and Aid to the Disadvantaged,Cash Programs for Aid to the Disadvantaged,20598633,22899625,23671895,25836854,26458051,28129240,30636854,31823080,34935365,37309262,39268312,45772316,53448797,59172920,64790031,69652857,71023236,74049265,73891581,76780391,79537502,75827467,84287300,92201581,97342725,107264556,108732742,110173640,149999632,135910056,161392938,169260302,148370411,156246769,160801152
41,combined,,row,Standard of Living and Aid to the Disadvantaged,Non-Cash Programs for Aid to the Disadvantaged,42128961,50116423,52074894,56461728,60925913,78224779,67685715,72188919,79151824,88148128,99719463,119455395,162866017,177223191,190827852,202203488,204790366,209613231,209558425,214403539,233562096,257130468,286395834,316376273,352730844,387152851,389632471,412667893,438101162,491537524,553408191,595407538,591468018,620035988,650157465
42,combined,,row,Standard of Living and Aid to the Disadvantaged,Unemployment Insurance,18921911,20617416,24627613,32466849,19593739,18832869,19183040,18557712,16730074,17092460,20478906,28719026,41439275,40175290,31292998,25928014,27129611,25206035,24384183,25668347,25227665,32668830,55995130,60323050,47451626,37274545,36530093,37316904,47565823,124259908,161706720,121858857,97757142,73052837,48146029
43,combined,,row,Standard of Living and Aid to the Disadvantaged,Employment and Training,1190738,1261621,1142790,1010169,1006297,978474,983455,1010929,1127538,1127840,1202853,1252689,1358778,1456548,1507144,1563000,1490000,1567000,1800000,1803000,1860000,1935000,2187000,2228000,2304000,2527000,1352000,2739000,2660000,2452000,3206000,3342000,3016000,2915000,2642000
44,combined,,row,Standard of Living and Aid to the Disadvantaged,Other Tax Credits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711000,1080000,1178000,981000,312000,125000
45,combined,,row,Promote the General Welfare,Note: Government-run Businesses (net expenditures),30647173,32681995,37504758,45616693,31124113,38305575,49983618,48603969,49341780,46875396,44813548,53587089,47424143,29198688,17316524,13038351,9658887,2338445,19507148,31043295,51827279,52500736,49832975,48393012,46256968,55835111,49032761,61013722,89839815,92436453,58461816,70857826,63564054,54091952,39035526
46,combined,,row,Spending By Mission,Secure the Blessings of Liberty to Ourselves and Our Posterity,423086782,496928031,550164876,592760449,634705076,701367043,755415783,793949132,829714776,892411331,965843617,1038810330,1051155291,1111099864,1147149939,1239498805,1293779305,1354789207,1413373496,1456420742,1533142242,1604593496,1661460741,1728242384,1827516390,1948689617,2114688301,2220610755,2366168524,2553798166,2578071746,2642146938,2675872157,2682559100,2792414887
47,combined,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Education,125477665,138529735,144952810,151796259,163128289,178890875,195105654,209099430,223671499,244019505,266328250,285926548,296820335,314290247,317152313,345935895,362875286,380275204,407091205,434024947,467287679,504167420,539386565,562668095,595042204,628025525,680210656,696067146,738677677,724910083,740774217,711378381,747659398,739802450,785891005
48,combined,,row,Education,Education Inside the Classroom,122922200,135775523,142037603,148741382,159649680,175245243,191210804,204823396,219168388,239144430,261069291,280203815,290438011,307906883,310412192,338826218,355281247,372174685,398658082,425259965,458154323,494329329,528903494,552935411,583491621,615907147,669086996,682936206,724745487,711139822,727012205,697823870,733335667,725784999,771977716
49,combined,,row,Education Inside the Classroom,Elementary and Secondary Education (net of charges such as school lunches),92315252,99982865,105298912,112259745,120135193,131379789,144491312,156770795,168867583,183983593,201015955,217265333,226571601,240271671,247369147,265486206,281217469,295650894,319148990,341090405,366828809,395319363,416071575,433091698,457088585,479887102,508497584,540881458,572566344,586413702,584446574,578090339,578976319,584606623,603060209
50,combined,,row,Education Inside the Classroom,Higher Education (net of tuition revenue),26531281,31161623,32425938,32148845,34825558,38761322,41242487,42385498,44027138,48204129,52241236,55506816,56283255,59919839,54538775,64387710,64489988,66847911,69467084,73554963,79945205,86111971,99793625,105581570,111919499,121284713,144851107,126767686,135988447,108290241,124506872,101982220,137322261,123976758,150635632
51,combined,,row,Education Inside the Classroom,Vocational Education,10288,5520,15639,12551,23841,25170,26792,5561,14724,17953,19596,52896,59239,57329,48551,33000,25000,20000,26000,26000,14000,28000,36000,35000,36000,37000,29000,29000,24000,29000,22000,22000,20000,17000,16000
52,combined,,row,Education Inside the Classroom,Education Unallocable between K-12 and Higher,4065379,4625515,4297114,4320241,4665088,5078962,5450213,5661542,6258943,6938755,7792504,7378770,7523916,7658044,8455719,8919302,9548790,9655880,10016008,10588597,11366309,12869995,13002294,14227143,14447537,14698332,15709305,15258062,16166696,16406879,18036759,17729311,17017087,17184618,18265875
53,combined,,row,Education,Education Outside the Classrooom (includes libraries and museums),2555465,2754212,2915207,3054877,3478609,3645632,3894850,4276034,4503111,4875075,5258959,5722733,6382324,6383364,6740121,7109677,7594039,8100519,8433123,8764982,9133356,9838091,10483071,9732684,11550583,12118378,11123660,13130940,13932190,13770261,13762012,13554511,14323731,14017451,13913289
54,combined,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Sustainability and Self-Sufficiency,48951422,58554549,60462214,62480657,48697999,60385548,69694949,65577666,55509820,58999552,58220232,63996400,67661797,72109596,66240491,64406878,60282155,61929234,67468304,80221771,97049698,99093567,100615084,99581281,98950332,107159129,116038731,117337260,124302640,142008766,141091636,135480830,124694628,127377549,109360828
55,combined,,row,Sustainability and Self-Sufficiency,Energy (includes net expenditures of energy utilities),11799267,16927011,14917816,10153170,6529742,4616347,4903096,2502191,-639310,-1158979,-854743,-2678813,-116719,-1043355,-267922,-1100958,-4187537,-5254882,-5784744,-7125171,-8788397,-1117368,-3596137,-5911194,-2126072,-5121850,-3628181,-3803722,-1166401,1534455,5476826,3295534,5486738,4914391,-2171265
56,combined,,row,Sustainability and Self-Sufficiency,Environment and Natural Resources,27185091,29226789,28498113,29066576,28105384,30140027,32568887,35666497,38071166,41416938,45024002,49205291,50180362,50275483,48735908,52750028,52073285,53033396,55567015,58725029,62873821,67130306,75419357,76231122,79159786,84797979,92538912,102303982,105939041,117248311,113242810,110542296,100126890,91523158,80250304
57,combined,,row,Sustainability and Self-Sufficiency,Agriculture,9967064,12400749,17046285,23260911,14062873,25629174,32222966,27408978,18077964,18741593,14050973,17469922,17598154,22877468,17772505,12757808,12396407,14150720,17686033,28621913,42964274,33080629,28791864,29261353,21916618,33084272,32756927,24493581,25214236,28937890,28111544,27410199,24875853,36762507,31281789
58,combined,,row,Secure the Blessings of Liberty to Ourselves and Our Posterity,Wealth and Savings,248657695,299843747,344749852,378483533,422878788,462090620,490615180,519272036,550533457,589392274,641295135,688887382,686673159,724700021,763757135,829156032,870621864,912584769,938813987,942174024,968804865,1001332509,1021459092,1065993008,1133523854,1213504963,1318438914,1407206349,1503188207,1686879317,1696205893,1795287727,1803518131,1815379101,1897163054
59,combined,,row,Wealth and Savings,Social Security,118546801,139584428,155963940,170723539,178222816,188623082,198756366,207351976,219340581,232542077,248622598,269014328,287584387,304584743,319564709,335846000,349671000,365251000,379215000,390037000,409417000,432958000,455979000,474678000,495541000,523303000,548540000,586137000,617004000,682918000,706709000,730784000,773261000,813529000,850517000
60,combined,,row,Social Security,Retirement,102669877,121764112,137253355,135209189,153323671,164252414,171556101,180676586,191559286,203332152,219087132,235403689,250339747,263988277,276207426,289331000,299560000,312083000,321149000,327718000,340918000,361229000,376540000,390330000,404005000,421467000,440413000,468456000,493467000,532671000,558820000,510613000,511071000,620374000,681134000
61,combined,,row,Social Security,Disability (FDI),15201844,17149860,17867070,15412330,17082978,18390511,18611831,21060196,22013695,23055898,24828217,27639512,31078594,34360665,37673832,41039000,43977000,46289000,48920000,51495000,55245000,59198000,65423000,70991000,77415000,85249000,91757000,98295000,105754000,116151000,124567000,118097000,121805000,137076000,143490000
62,combined,,row,Social Security,Other Social Security (includes unallocable),675080,670456,843515,20102020,7816167,5980157,8588434,5615194,5767600,6154027,4707249,5971127,6166046,6235801,5683451,5476000,6134000,6879000,9146000,10824000,13254000,12531000,14016000,13357000,14121000,16587000,16370000,19386000,17783000,34096000,23322000,102074000,140385000,56079000,25893000
63,combined,,row,Wealth and Savings,Medicare (net of premiums),32089580,39148729,46567472,52587740,57537672,65822367,70163956,75120105,78878475,84964394,98101537,104489292,119023572,130551946,144747722,159854000,174226000,190016000,192823000,190447000,197113000,217384000,230855000,249433000,269360000,298638000,329838000,375401000,390775000,430095000,451629000,485744000,472081000,497740000,511550000
64,combined,,row,Wealth and Savings,General Retirement Programs (includes Railroad Retirement and PBGC),5083081,5439462,5570663,5581077,5441411,5616954,5329680,5564665,5294174,5650358,5148327,4945054,5482621,4346698,5720012,5106000,5281000,4752000,4665000,1959000,5298000,5943000,5855000,7103000,6588000,7043000,4651000,7943000,9066000,8342000,6737000,6913000,8014000,7165000,8889000
65,combined,,row,Wealth and Savings,Housing Support,5785043,5922533,5883215,4966470,4136065,2748261,643752,-451029,4815748,5266072,3887411,5369324,4329100,1562123,-491567,-1025000,-5013000,-3993000,150000,1506000,-3289000,-1121000,-6963000,-3292000,1615000,-1678000,-1040000,-5487000,-681000,99222000,35186000,13853000,-8213000,-88201000,-84349000
66,combined,,row,Housing Support,Note: Net expenditures for Fannie Mae/Freddie Mac assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54000,86776000,30876000,12633000,-7527000,-96888000,-74463000
67,combined,,row,Wealth and Savings,Obligations,87153190,109748595,130764562,144624707,177540824,199279956,215721426,231686319,242204479,260969373,285535262,305069384,270253479,283654511,294216259,329375032,346456864,356558769,361960987,358225024,360265865,346168509,335733092,338071008,360419854,386198963,436449914,443212349,487024207,466302317,495944893,557993727,558375131,585146101,610556054
68,combined,,row,Obligations,Employee Retirement and Disability Benefits,44017543,50833905,56690349,60785745,65587410,69107593,73761179,81219296,87551725,92060624,100606359,110601376,118052959,126502848,132778647,141863714,151636399,159563583,168826254,176168025,188790171,202511397,217322440,236612972,254336283,271922533,287762997,304328909,325986225,347060021,360996874,379766752,389690210,412875303,432082940
69,combined,,row,Obligations,Offset for Government Employee Contributions for Retirement and Disability,-10335303,-10894517,-11887489,-12528720,-12913795,-14047155,-15758488,-17725324,-19420311,-21251402,-22848992,-26481732,-27760841,-29326048,-30964392,-31723411,-32123809,-31795676,-31493901,-33299480,-33887563,-38771656,-41734573,-45536446,-54665833,-57439174,-57688305,-58153090,-56337574,-59356093,-57799064,-58372058,-61699123,-62272034,-64260027
70,combined,,row,Obligations,Offset for Federal Government Employer Contributions for Retirement and Disability,-14388585,-16141176,-17806303,-20652280,-21913457,-23198583,-23830209,-25559200,-27543842,-27838466,-26498406,-28679189,-28804719,-26231465,-26337981,-25865000,-25260000,-25678000,-25670000,-25968000,-27595000,-28190000,-30576000,-36702000,-39580000,-44675000,-45827000,-54296000,-54931000,-53896000,-63558000,-60556000,-64254000,-60977000,-59560000
71,combined,,row,Obligations,Interest on Debt (net of interest on investments),67859535,85950383,103768005,117019962,146780666,167418101,181548944,193751547,201616907,217998617,234276301,249628929,208766080,212709176,218739985,245099729,252204274,254468862,250298634,241324479,232958257,210618768,190721225,183696482,200329404,216390604,252202222,251332530,272306556,232494389,256305083,297155033,294638044,295519832,302293141
72,combined,,row,Spending By Mission,General Government,37835719,40486315,40694725,40793974,43927348,48170283,52950244,56987093,60634747,63626917,69027100,74480238,77503189,79679190,79630781,86667320,84681274,92248509,95230967,106517013,113441222,124309167,135119962,132402247,133262366,135827628,146283808,162693531,168577372,174845765,176240258,174744816,168698663,165215828,173261431
73,combined,subtotal,row,Spending By Mission,Non-Grant Assistance from Federal Government to Territories and State and Local Governments,118974,149607,48052,126411,93758,-299294,-544517,9874,138796,126523,150136,147307,-136237,32633,131500,324000,161000,168000,103000,169000,178000,180000,197000,199000,174000,227000,192000,233000,208000,275000,227000,245000,4005000,4135000,3821000
74,combined,subtotal,row,Spending By Mission,Discrepancy Between State and Local Receipts and Federal Government Transfers to State and Local Governments,10092574,6266346,2631541,4189646,2321348,1649707,1315804,-4027219,372084,-979062,1754888,3857551,2593297,-1423691,-1248580,-105515,-3159501,-6583728,-5374204,1093998,-2046677,-1185453,-3263735,4563792,-10972351,-5919947,-11975798,-9392367,-4448779,12301410,-6034632,-30624141,-36401673,-33406772,-21873824
75,combined,,total_row,Spending By Mission,Total Spending (Net Expenditures),846850601,967135632,1056608783,1152313194,1221070335,1349218023,1435684294,1499310121,1587826941,1702000505,1864116049,1986001946,2044258138,2097750083,2173418633,2281972696,2347355840,2440918523,2539517838,2644535772,2811185335,2963936291,3193879423,3395131861,3587034073,3834038609,4074767494,4281363002,4657916445,5249853788,5139009032,5304777537,5333109476,5276254333,5389059977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Memo:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Alternative Categorization Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,All Health Expenditures,96141449,165112317,179858210,193226865,206109751,225635292,240428125,256909841,279273232,301805598,343153751,384234615,462307974,500894935,541612274,582577182,603393546,638626028,657341693,678707426,729620209,802673191,878935941,961460190,1047038793,1128400857,1201934777,1262591374,1328519129,1476545925,1571797402,1651340391,1614636970,1703836233,1805769527
,,,,,All Education Expenditures,124126907,211496835,220582871,229787802,231360355,271866457,279567064,288859952,303459037,329263524,352205742,382584398,405915704,433214139,432055115,463623895,472503286,494377204,535409205,579976947,627810679,664325420,710992565,751746095,796581204,837705525,896920656,904158146,963340677,1002721083,1062924217,1023049381,1028910398,1024316450,1049784005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Government Business-Like Operations:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,All Government-Run Business-Like Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
